user_id,city,state,monthly_income_inr,occupation,signup_timestamp,kyc_status,risk_segment
USR10069,Mumbai,Maharashtra,49895.0,Business Owner,,VERIFIED,MEDIUM
USR10070,Lucknow,Uttar Pradesh,10797.0,Salaried,2025-06-26 00:00:00,VERIFIED,LOW
USR10078,Bangalore,Karnataka,,Unemployed,2025-10-15 00:00:00,VERIFIED,HIGH
USR10085,Hyderabad,Telangana,,Retired,2025-04-23 00:00:00,VERIFIED,MEDIUM
USR10086,Bangalore,Karnataka,29650.0,Retired,2024-08-08 15:24:44,REJECTED,LOW
USR10088,Ludhiana,Punjab,26367.0,Student,,VERIFIED,LOW
USR10090,Lucknow,Uttar Pradesh,13798.0,Freelancer,,VERIFIED,LOW
USR10093,Ludhiana,Punjab,,Student,2025-10-31 01:25:20,VERIFIED,HIGH
USR10095,Jalandhar,Punjab,33245.0,Gig Worker,2025-07-11 19:32:49,VERIFIED,LOW
USR10096,Hyderabad,Telangana,19706.0,Unemployed,2024-07-27 00:00:00,VERIFIED,LOW
USR10097,Kolkata,West Bengal,71021.0,Unemployed,2025-02-10 00:00:00,VERIFIED,LOW
USR10098,Chennai,Tamil Nadu,9421.0,Gig Worker,2025-07-22 00:00:00,REJECTED,LOW
USR10100,Jalandhar,Punjab,79104.0,Student,2025-04-15 00:00:00,VERIFIED,LOW
USR10101,Jalandhar,Punjab,,Unemployed,2024-07-24 00:00:00,VERIFIED,HIGH
USR10106,Ludhiana,Punjab,27821.0,Unemployed,2024-01-19 00:00:00,VERIFIED,LOW
USR10107,Hyderabad,Telangana,47795.0,Self Employed,2026-02-19 00:00:00,VERIFIED,LOW
USR10108,Chennai,Tamil Nadu,21734.0,Salaried,2025-11-03 14:51:55,VERIFIED,MEDIUM
USR10114,New Delhi,Delhi,17607.0,Retired,2024-03-27 14:07:08,VERIFIED,MEDIUM
USR10115,Chennai,Tamil Nadu,34289.0,Salaried,2025-09-27 22:29:40,VERIFIED,LOW
USR10123,Lucknow,Uttar Pradesh,14855.0,Retired,2026-01-15 16:51:32,VERIFIED,MEDIUM
USR10126,Pune,Maharashtra,49735.0,Unemployed,2025-01-21 00:00:00,VERIFIED,LOW
USR10129,Lucknow,Uttar Pradesh,30244.0,Freelancer,2025-09-13 00:00:00,VERIFIED,MEDIUM
USR10130,Pune,Maharashtra,52292.0,Business Owner,2024-07-25 00:00:00,PENDING,LOW
USR10131,Chennai,Tamil Nadu,39868.0,Business Owner,2026-02-14 00:00:00,VERIFIED,UNKNOWN
USR10133,Mumbai,Maharashtra,38349.0,Self Employed,2025-07-20 00:00:00,VERIFIED,HIGH
USR10143,Mumbai,Maharashtra,20853.0,Farmer,2025-02-26 00:00:00,VERIFIED,LOW
USR10155,Mumbai,Maharashtra,,Salaried,2024-12-26 04:40:00,PENDING,HIGH
USR10157,Pune,Maharashtra,34003.0,Business Owner,2024-10-04 00:00:00,VERIFIED,HIGH
USR10161,Jaipur,Rajasthan,49452.0,Gig Worker,2024-11-09 00:00:00,VERIFIED,LOW
USR10165,Chennai,Tamil Nadu,,Self Employed,2025-07-22 00:00:00,PENDING,LOW
USR10166,Jaipur,Rajasthan,,Salaried,2024-04-22 00:00:00,VERIFIED,MEDIUM
USR10168,Blr,Karnataka,,Retired,2025-01-06 00:00:00,PENDING,LOW
USR10171,Jaipur,Rajasthan,22421.0,Salaried,2024-08-12 02:26:04,VERIFIED,UNKNOWN
USR10174,Chennai,Tamil Nadu,97324.0,Farmer,2025-05-24 00:00:00,VERIFIED,LOW
USR10176,Chennai,Tamil Nadu,27058.0,Salaried,2025-02-05 00:00:00,REJECTED,LOW
USR10182,Pune,Maharashtra,31424.0,Freelancer,2026-01-16 21:12:56,VERIFIED,LOW
USR10185,Asr,Punjab,74324.0,Gig Worker,2024-01-07 00:00:00,VERIFIED,LOW
USR10188,Delhi,Delhi,23789.0,Gig Worker,2024-05-11 00:00:00,VERIFIED,MEDIUM
USR10192,Mumbai,Maharashtra,32350.0,Farmer,2025-07-24 00:00:00,VERIFIED,LOW
USR10194,Lucknow,Uttar Pradesh,8557.0,Salaried,2025-12-02 23:44:00,VERIFIED,MEDIUM
USR10195,Ludhiana,Punjab,11451.0,Student,2025-08-30 15:18:09,VERIFIED,HIGH
USR10200,Kolkata,West Bengal,41384.0,Unemployed,2025-09-01 11:23:45,VERIFIED,MEDIUM
USR10202,Kolkata,West Bengal,16825.0,Business Owner,2026-02-21 00:00:00,PENDING,LOW
USR10203,Pune,Maharashtra,49109.0,Self Employed,2025-12-31 00:00:00,VERIFIED,MEDIUM
USR10204,Ludhiana,Punjab,-16381.0,Self Employed,2025-12-25 00:00:00,VERIFIED,LOW
USR10205,Ludhiana,Punjab,11613.0,Student,2024-08-16 00:00:00,VERIFIED,MEDIUM
USR10207,Ludhiana,Punjab,,Salaried,2024-01-17 00:00:00,UNKNOWN,LOW
USR10209,Bengaluru,Karnataka,,Retired,2024-01-09 00:00:00,VERIFIED,HIGH
USR10210,Jalandhar,Punjab,37410.0,Freelancer,2025-07-14 12:39:47,PENDING,MEDIUM
USR10213,Jaipur,Rajasthan,,Student,2025-02-23 03:24:00,PENDING,HIGH
USR10214,Ludhiana,Punjab,25164.0,Farmer,2025-10-28 00:18:34,PENDING,MEDIUM
USR10216,Jaipur,Rajasthan,48670.0,Salaried,2024-03-18 00:00:00,VERIFIED,LOW
USR10218,Ludhiana,Punjab,28990.0,Salaried,2026-03-12 00:00:00,VERIFIED,MEDIUM
USR10221,Pune,Maharashtra,76407.0,Unemployed,2026-01-07 00:00:00,VERIFIED,MEDIUM
USR10222,Amritsar,Punjab,38181.0,Student,2025-04-12 05:18:46,VERIFIED,LOW
USR10223,Hyderabad,Telangana,,Freelancer,2024-02-17 18:52:51,PENDING,MEDIUM
USR10228,Lucknow,Uttar Pradesh,18999.0,Business Owner,2025-12-15 00:00:00,VERIFIED,MEDIUM
USR10229,Amritsar,Punjab,22969.0,Student,2024-12-16 00:00:00,VERIFIED,MEDIUM
USR10232,Asr,Punjab,,Retired,2025-10-15 00:00:00,VERIFIED,HIGH
USR10233,Jpr,Rajasthan,45878.0,Gig Worker,2024-03-01 00:00:00,VERIFIED,LOW
USR10239,Pune,Maharashtra,38138.0,Retired,2025-05-31 00:00:00,VERIFIED,HIGH
USR10241,Mumbai,Maharashtra,25630.0,Business Owner,2024-10-27 00:00:00,VERIFIED,LOW
USR10245,Amritsar,Punjab,28505.0,Student,2025-10-11 01:03:52,VERIFIED,MEDIUM
USR10249,Chennai,Tamil Nadu,35209.0,Unemployed,2025-12-30 06:25:47,VERIFIED,MEDIUM
USR10257,Jalandhar,Punjab,15854.0,Self Employed,2025-03-10 12:06:05,VERIFIED,UNKNOWN
USR10261,Lucknow,Uttar Pradesh,34259.0,Freelancer,2025-02-22 00:00:00,VERIFIED,LOW
USR10262,Lucknow,Uttar Pradesh,,Retired,2024-07-09 19:09:14,VERIFIED,LOW
USR10264,Bengaluru,Karnataka,29708.0,Gig Worker,2025-06-03 00:00:00,PENDING,MEDIUM
USR10265,Pune,Maharashtra,20579.0,Salaried,2025-06-10 00:00:00,VERIFIED,LOW
USR10267,New Delhi,Delhi,33870.0,Farmer,2025-10-15 00:00:00,VERIFIED,LOW
USR10272,Kolkata,West Bengal,,Farmer,2024-05-29 00:00:00,PENDING,LOW
USR10277,Pune,Maharashtra,,Unemployed,2025-05-11 00:00:00,VERIFIED,MEDIUM
USR10278,Bangalore,Karnataka,35033.0,Farmer,2025-04-17 00:00:00,VERIFIED,LOW
USR10285,Lucknow,Uttar Pradesh,,Freelancer,2025-09-11 10:14:00,VERIFIED,UNKNOWN
USR10288,Jalandhar,Punjab,,Unemployed,2026-02-28 00:00:00,VERIFIED,HIGH
USR10289,Bengaluru,Karnataka,23756.0,Student,2025-03-09 00:00:00,PENDING,LOW
USR10290,Pune,Maharashtra,7517.0,Farmer,2025-03-28 00:00:00,VERIFIED,LOW
USR10293,Jaipur,Rajasthan,,Unemployed,2024-03-20 00:00:00,VERIFIED,LOW
USR10297,Pune,Maharashtra,25349.0,Freelancer,2025-03-03 12:15:41,VERIFIED,LOW
USR10298,Mumbai,Maharashtra,28602.0,Retired,2025-08-12 00:00:00,REJECTED,LOW
USR10300,Ludhiana,Punjab,35516.0,Farmer,2024-02-05 00:00:00,VERIFIED,LOW
USR10304,Jalandhar,Punjab,-33744.0,Salaried,2025-09-18 00:00:00,VERIFIED,MEDIUM
USR10306,Dilli,Delhi,,Unemployed,,VERIFIED,MEDIUM
USR10309,Kolkata,West Bengal,13000.0,Student,2025-03-12 18:10:14,PENDING,LOW
USR10310,Lucknow,Uttar Pradesh,32802.0,Unemployed,2026-03-25 00:00:00,VERIFIED,MEDIUM
USR10312,Ludhiana,Punjab,19368.0,Student,2025-06-10 00:00:00,VERIFIED,LOW
USR10317,Hyderabad,Telangana,32899.0,Self Employed,2024-06-12 00:00:00,VERIFIED,LOW
USR10318,Asr,Punjab,27205.0,Retired,2024-05-14 16:30:20,VERIFIED,MEDIUM
USR10326,Hyderabad,Telangana,,Self Employed,2026-01-19 00:00:00,VERIFIED,LOW
USR10329,Hyderabad,Telangana,29811.0,Gig Worker,2025-02-19 11:52:06,VERIFIED,LOW
USR10331,Mumbai,Maharashtra,,Salaried,2025-09-05 00:00:00,PENDING,LOW
USR10335,Chennai,Tamil Nadu,28904.0,Unemployed,2025-03-07 00:00:00,VERIFIED,LOW
USR10340,Lucknow,Uttar Pradesh,26679.0,Retired,2025-03-12 14:10:54,VERIFIED,UNKNOWN
USR10341,Pune,Maharashtra,59899.0,Unemployed,,VERIFIED,MEDIUM
USR10342,Lucknow,Uttar Pradesh,34469.0,Unemployed,,VERIFIED,UNKNOWN
USR10347,Chennai,Tamil Nadu,12979.0,Unemployed,2024-10-17 00:00:00,VERIFIED,HIGH
USR10349,Mumbai,Maharashtra,45629.0,Farmer,,VERIFIED,LOW
USR10351,Pune,Maharashtra,55887.0,Freelancer,2024-11-10 00:00:00,PENDING,LOW
USR10353,Bengaluru,Karnataka,,Student,2024-11-03 00:00:00,VERIFIED,MEDIUM
USR10356,Chennai,Tamil Nadu,31980.0,Unemployed,,VERIFIED,MEDIUM
USR10357,Delhi,Delhi,30960.0,Freelancer,2025-10-27 00:00:00,VERIFIED,LOW
USR10359,Blr,Karnataka,,Student,2025-02-16 00:00:00,VERIFIED,MEDIUM
USR10361,Mumbai,Maharashtra,29294.0,Freelancer,2024-07-23 00:00:00,VERIFIED,LOW
USR10363,Jaipur,Rajasthan,16604.0,Business Owner,2024-06-09 00:00:00,VERIFIED,UNKNOWN
USR10369,Jalandhar,Punjab,,Retired,2024-08-03 00:00:00,VERIFIED,LOW
USR10374,Bengaluru,Karnataka,86817.0,Gig Worker,2025-02-14 12:54:00,VERIFIED,LOW
USR10376,Chennai,Tamil Nadu,19619.0,Farmer,2024-11-15 08:34:57,PENDING,LOW
USR10377,New Delhi,Delhi,17386.0,Gig Worker,2024-03-01 12:41:55,VERIFIED,MEDIUM
USR10379,Chennai,Tamil Nadu,12843.0,Retired,2024-09-19 18:55:57,VERIFIED,MEDIUM
USR10382,Ludhiana,Punjab,16913.0,Self Employed,2025-12-20 00:00:00,VERIFIED,LOW
USR10384,Bangalore,Karnataka,34771.0,Farmer,2024-12-27 00:00:00,REJECTED,LOW
USR10388,Lucknow,Uttar Pradesh,95632.0,Student,2024-05-26 12:38:53,VERIFIED,LOW
USR10392,Asr,Punjab,46978.0,Business Owner,2026-03-17 21:59:55,VERIFIED,LOW
USR10393,Delhi,Delhi,56752.0,Student,2025-07-17 22:30:03,VERIFIED,HIGH
USR10399,Jalandhar,Punjab,38600.0,Salaried,2026-03-15 01:12:00,VERIFIED,LOW
USR10401,Hyderabad,Telangana,,Business Owner,2025-01-08 00:00:00,VERIFIED,LOW
USR10408,Delhi,Delhi,,Student,2025-04-22 00:00:00,VERIFIED,MEDIUM
USR10415,Pune,Maharashtra,,Self Employed,2025-01-29 05:15:19,VERIFIED,LOW
USR10416,Chennai,Tamil Nadu,18411.0,Business Owner,2024-09-26 00:00:00,VERIFIED,LOW
USR10423,Lucknow,Uttar Pradesh,42283.0,Farmer,2025-10-04 19:46:42,VERIFIED,HIGH
USR10431,Delhi,Delhi,23047.0,Gig Worker,2025-04-10 15:47:00,VERIFIED,MEDIUM
USR10436,Jalandhar,Punjab,17883.0,Unemployed,2025-08-28 00:00:00,VERIFIED,LOW
USR10442,Delhi,Delhi,31903.0,Student,2025-08-15 05:46:22,VERIFIED,LOW
USR10444,Mumbai,Maharashtra,24273.0,Business Owner,2024-11-15 00:00:00,VERIFIED,LOW
USR10446,New Delhi,Delhi,34997.0,Salaried,2025-08-10 00:00:00,VERIFIED,LOW
USR10447,Asr,Punjab,29407.0,Salaried,2025-12-15 19:42:00,VERIFIED,LOW
USR10448,Bengaluru,Karnataka,53296.0,Self Employed,2025-12-21 00:00:00,VERIFIED,MEDIUM
USR10450,Delhi,Delhi,-31728.0,Unemployed,2024-05-31 00:00:00,VERIFIED,LOW
USR10458,Lucknow,Uttar Pradesh,56863.0,Freelancer,2025-09-21 00:21:17,VERIFIED,LOW
USR10468,Bengaluru,Karnataka,,Unemployed,2026-02-17 00:00:00,VERIFIED,LOW
USR10470,New Delhi,Delhi,7325.0,Freelancer,2025-06-17 00:00:00,PENDING,LOW
USR10475,Pune,Maharashtra,20014.0,Business Owner,2025-07-28 00:00:00,VERIFIED,LOW
USR10476,Lucknow,Uttar Pradesh,54441.0,Self Employed,2024-02-03 06:02:47,PENDING,LOW
USR10478,Asr,Punjab,17575.0,Self Employed,2026-01-04 00:00:00,VERIFIED,LOW
USR10487,Mumbai,Maharashtra,29347.0,Farmer,2024-12-05 00:00:00,VERIFIED,MEDIUM
USR10489,Asr,Punjab,30766.0,Unemployed,2026-03-05 00:00:00,VERIFIED,MEDIUM
USR10498,Mumbai,Maharashtra,26041.0,Unemployed,2025-03-05 00:00:00,VERIFIED,MEDIUM
USR10499,Hyderabad,Telangana,,Gig Worker,2024-03-22 00:00:00,VERIFIED,LOW
USR10500,Jpr,Rajasthan,28656.0,Salaried,2024-02-05 00:00:00,VERIFIED,LOW
USR10504,Kolkata,West Bengal,41245.0,Freelancer,2024-05-25 00:00:00,VERIFIED,LOW
USR10505,Ludhiana,Punjab,37801.0,Self Employed,2025-09-04 00:40:46,VERIFIED,MEDIUM
USR10506,New Delhi,Delhi,-27499.0,Retired,2024-07-02 00:00:00,VERIFIED,LOW
USR10507,Dilli,Delhi,,Student,2024-07-20 08:41:46,VERIFIED,LOW
USR10508,Pune,Maharashtra,27170.0,Freelancer,,PENDING,MEDIUM
USR10510,Chennai,Tamil Nadu,15808.0,Salaried,2024-11-01 04:30:10,VERIFIED,LOW
USR10512,Lucknow,Uttar Pradesh,13940.0,Freelancer,2024-01-02 00:00:00,VERIFIED,HIGH
USR10515,Ludhiana,Punjab,,Student,2025-06-30 00:00:00,VERIFIED,LOW
USR10516,Bangalore,Karnataka,37134.0,Unemployed,2024-07-02 00:00:00,VERIFIED,LOW
USR10520,Pune,Maharashtra,,Unemployed,2025-06-14 00:00:00,VERIFIED,MEDIUM
USR10523,Amritsar,Punjab,36118.0,Self Employed,2025-12-20 00:00:00,VERIFIED,HIGH
USR10525,Chennai,Tamil Nadu,43676.0,Unemployed,2025-06-25 00:00:00,VERIFIED,UNKNOWN
USR10528,Jaipur,Rajasthan,10561.0,Gig Worker,2024-09-08 00:00:00,VERIFIED,HIGH
USR10529,Ludhiana,Punjab,36463.0,Gig Worker,2025-01-09 00:00:00,VERIFIED,LOW
USR10536,Chennai,Tamil Nadu,22958.0,Business Owner,2025-05-26 00:00:00,VERIFIED,LOW
USR10539,Lucknow,Uttar Pradesh,15192.0,Salaried,2025-12-27 00:00:00,VERIFIED,LOW
USR10542,Kolkata,West Bengal,28701.0,Student,2025-05-31 00:00:00,VERIFIED,MEDIUM
USR10547,Hyderabad,Telangana,,Freelancer,2024-09-11 00:00:00,PENDING,MEDIUM
USR10548,Chennai,Tamil Nadu,23317.0,Self Employed,2024-07-03 00:00:00,VERIFIED,LOW
USR10549,Asr,Punjab,21193.0,Business Owner,2025-06-05 00:00:00,PENDING,MEDIUM
USR10550,Lucknow,Uttar Pradesh,36207.0,Farmer,2025-03-24 00:00:00,VERIFIED,LOW
USR10552,Chennai,Tamil Nadu,49724.0,Self Employed,2025-01-06 00:00:00,VERIFIED,MEDIUM
USR10554,Amritsar,Punjab,69971.0,Business Owner,2024-08-31 00:00:00,REJECTED,MEDIUM
USR10558,Asr,Punjab,20130.0,Retired,2025-04-23 02:57:45,VERIFIED,LOW
USR10560,Bengaluru,Karnataka,23458.0,Farmer,2024-08-25 01:59:00,VERIFIED,MEDIUM
USR10561,Mumbai,Maharashtra,9691.0,Retired,2024-10-25 08:14:00,REJECTED,LOW
USR10565,Jalandhar,Punjab,19928.0,Retired,2026-03-05 08:18:18,VERIFIED,LOW
USR10568,Amritsar,Punjab,45586.0,Student,2024-01-12 00:00:00,VERIFIED,LOW
USR10574,Asr,Punjab,22132.0,Gig Worker,2025-06-26 00:23:00,VERIFIED,LOW
USR10575,Asr,Punjab,22491.0,Student,2024-07-16 00:00:00,VERIFIED,LOW
USR10577,Bangalore,Karnataka,,Salaried,2024-09-30 00:00:00,REJECTED,LOW
USR10578,Jpr,Rajasthan,10741.0,Farmer,2024-01-10 00:00:00,PENDING,HIGH
USR10579,New Delhi,Delhi,24757.0,Self Employed,2025-11-11 12:08:52,VERIFIED,HIGH
USR10580,Bengaluru,Karnataka,25832.0,Salaried,2025-04-07 00:00:00,VERIFIED,LOW
USR10583,Hyderabad,Telangana,25652.0,Salaried,2024-02-23 00:00:00,VERIFIED,LOW
USR10589,Lucknow,Uttar Pradesh,7270.0,Retired,2025-02-07 00:00:00,VERIFIED,LOW
USR10593,Asr,Punjab,30342.0,Freelancer,2024-12-24 00:00:00,PENDING,LOW
USR10598,Hyderabad,Telangana,35597.0,Freelancer,2025-11-25 00:00:00,VERIFIED,LOW
USR10599,Bengaluru,Karnataka,-62543.0,Student,2025-07-28 00:00:00,VERIFIED,LOW
USR10600,Lucknow,Uttar Pradesh,29988.0,Gig Worker,2025-10-01 15:57:52,VERIFIED,UNKNOWN
USR10601,Ludhiana,Punjab,33585.0,Gig Worker,2024-04-01 09:04:49,VERIFIED,LOW
USR10603,Ludhiana,Punjab,45074.0,Retired,2025-03-10 18:29:00,VERIFIED,LOW
USR10605,Lucknow,Uttar Pradesh,23116.0,Retired,2024-05-19 12:56:14,VERIFIED,HIGH
USR10610,Hyderabad,Telangana,20462.0,Unemployed,2026-02-26 00:00:00,PENDING,MEDIUM
USR10615,Hyderabad,Telangana,,Business Owner,2024-08-11 16:33:30,VERIFIED,HIGH
USR10621,Pune,Maharashtra,-18061.0,Student,2024-11-19 00:00:00,VERIFIED,MEDIUM
USR10622,Jpr,Rajasthan,13193.0,Self Employed,2025-07-29 00:00:00,VERIFIED,LOW
USR10623,Hyderabad,Telangana,135236.0,Salaried,2024-04-19 00:00:00,VERIFIED,HIGH
USR10624,Ludhiana,Punjab,44508.0,Freelancer,2025-11-02 03:47:43,VERIFIED,LOW
USR10628,Delhi,Delhi,30906.0,Farmer,2024-11-01 00:00:00,PENDING,LOW
USR10629,Ludhiana,Punjab,13303.0,Salaried,2024-06-04 00:00:00,VERIFIED,LOW
USR10630,Hyderabad,Telangana,27281.0,Unemployed,2025-10-25 00:00:00,PENDING,HIGH
USR10633,Delhi,Delhi,24401.0,Unemployed,2024-01-10 00:00:00,VERIFIED,LOW
USR10637,Hyderabad,Telangana,33970.0,Salaried,2025-05-02 00:00:00,REJECTED,MEDIUM
USR10642,Pune,Maharashtra,28794.0,Farmer,,VERIFIED,LOW
USR10644,Lucknow,Uttar Pradesh,14238.0,Gig Worker,2024-02-17 02:45:00,PENDING,LOW
USR10648,Pune,Maharashtra,44123.0,Self Employed,2026-03-23 10:05:00,PENDING,HIGH
USR10650,Jaipur,Rajasthan,33339.0,Student,2024-02-25 00:00:00,VERIFIED,MEDIUM
USR10651,Chennai,Tamil Nadu,46134.0,Self Employed,2026-01-10 00:00:00,UNKNOWN,MEDIUM
USR10652,Bangalore,Karnataka,42475.0,Unemployed,2024-09-27 00:00:00,REJECTED,LOW
USR10653,Hyderabad,Telangana,57713.0,Unemployed,,VERIFIED,LOW
USR10657,Mumbai,Maharashtra,11806.0,Gig Worker,2024-01-11 00:06:36,VERIFIED,HIGH
USR10658,Lucknow,Uttar Pradesh,15303.0,Farmer,2025-07-09 23:18:26,VERIFIED,HIGH
USR10659,Delhi,Delhi,,Business Owner,2025-09-21 10:53:00,REJECTED,HIGH
USR10663,Jalandhar,Punjab,46487.0,Salaried,2024-01-06 14:02:00,VERIFIED,LOW
USR10667,Hyderabad,Telangana,16788.0,Gig Worker,2025-11-28 00:00:00,PENDING,LOW
USR10668,Delhi,Delhi,18657.0,Freelancer,,VERIFIED,LOW
USR10674,Jalandhar,Punjab,14059.0,Unemployed,2026-03-17 00:00:00,VERIFIED,LOW
USR10677,Lucknow,Uttar Pradesh,13681.0,Salaried,2024-12-15 00:20:09,VERIFIED,MEDIUM
USR10680,Lucknow,Uttar Pradesh,19091.0,Business Owner,2024-02-09 01:42:24,VERIFIED,MEDIUM
USR10690,Delhi,Delhi,94352.0,Unemployed,2025-12-16 17:15:57,VERIFIED,LOW
USR10691,Hyderabad,Telangana,44568.0,Business Owner,2025-03-04 00:00:00,VERIFIED,HIGH
USR10694,Amritsar,Punjab,,Freelancer,2025-01-13 03:44:27,VERIFIED,LOW
USR10695,Jaipur,Rajasthan,14790.0,Freelancer,2025-07-09 00:00:00,VERIFIED,MEDIUM
USR10702,Jalandhar,Punjab,18833.0,Freelancer,2024-04-27 00:05:00,VERIFIED,LOW
USR10703,Kolkata,West Bengal,-35973.0,Business Owner,2024-02-24 21:33:58,PENDING,HIGH
USR10704,Jalandhar,Punjab,19321.0,Unemployed,2025-11-04 00:00:00,PENDING,LOW
USR10709,Mumbai,Maharashtra,17815.0,Freelancer,2024-10-21 12:44:00,VERIFIED,LOW
USR10711,Hyderabad,Telangana,24027.0,Unemployed,2026-02-24 09:34:41,PENDING,LOW
USR10712,Mumbay,Maharashtra,,Student,2024-08-18 00:00:00,VERIFIED,MEDIUM
USR10716,Hyderabad,Telangana,,Business Owner,,PENDING,LOW
USR10718,Mumbai,Maharashtra,16389.0,Unemployed,2026-03-03 00:00:00,VERIFIED,MEDIUM
USR10726,New Delhi,Delhi,63250.0,Self Employed,2024-09-01 00:00:00,VERIFIED,LOW
USR10728,Kolkata,West Bengal,66591.0,Self Employed,2024-02-13 00:00:00,VERIFIED,UNKNOWN
USR10732,Delhi,Delhi,24399.0,Business Owner,2024-04-19 12:07:00,VERIFIED,LOW
USR10733,Kolkata,West Bengal,22567.0,Salaried,2025-08-07 06:55:32,VERIFIED,LOW
USR10741,Delhi,Delhi,24241.0,Freelancer,2025-07-30 05:59:03,VERIFIED,LOW
USR10742,Mumbai,Maharashtra,38851.0,Unemployed,2024-01-04 00:00:00,VERIFIED,LOW
USR10746,Kolkata,West Bengal,25386.0,Gig Worker,2024-02-17 00:00:00,VERIFIED,LOW
USR10747,Lucknow,Uttar Pradesh,27896.0,Student,2024-11-17 08:13:35,PENDING,LOW
USR10750,Ludhiana,Punjab,-12649.0,Freelancer,2024-12-02 17:54:32,VERIFIED,UNKNOWN
USR10758,Hyderabad,Telangana,25232.0,Salaried,2024-09-16 00:00:00,VERIFIED,HIGH
USR10759,Delhi,Delhi,,Business Owner,2025-11-10 00:00:00,VERIFIED,MEDIUM
USR10760,Kolkata,West Bengal,28338.0,Student,2024-01-15 00:04:02,REJECTED,LOW
USR10765,Hyderabad,Telangana,-36168.0,Unemployed,2024-06-30 00:00:00,REJECTED,LOW
USR10766,New Delhi,Delhi,,Business Owner,2025-11-07 21:59:00,VERIFIED,MEDIUM
USR10775,Jaipur,Rajasthan,,Unemployed,2025-11-09 07:43:22,PENDING,UNKNOWN
USR10780,Jaipur,Rajasthan,12121.0,Unemployed,2024-11-13 04:26:00,PENDING,LOW
USR10785,Hyderabad,Telangana,,Gig Worker,2024-12-12 21:00:51,VERIFIED,HIGH
USR10790,Ludhiana,Punjab,12149.0,Gig Worker,2025-01-04 00:00:00,PENDING,LOW
USR10799,Lucknow,Uttar Pradesh,27782.0,Unemployed,2025-12-28 00:00:00,PENDING,MEDIUM
USR10800,Blr,Karnataka,17446.0,Freelancer,2025-09-06 00:00:00,VERIFIED,LOW
USR10804,Amritsar,Punjab,22601.0,Student,2025-07-12 23:44:00,VERIFIED,UNKNOWN
USR10807,Jalandhar,Punjab,38726.0,Gig Worker,2024-01-09 00:00:00,VERIFIED,MEDIUM
USR10811,Amritsar,Punjab,24892.0,Freelancer,2025-04-04 00:00:00,PENDING,MEDIUM
USR10816,Mumbai,Maharashtra,,Business Owner,2026-01-07 23:59:00,VERIFIED,HIGH
USR10818,Chennai,Tamil Nadu,20453.0,Unemployed,2025-04-16 00:00:00,VERIFIED,MEDIUM
USR10830,Chennai,Tamil Nadu,42607.0,Retired,2026-03-16 00:00:00,VERIFIED,LOW
USR10833,Mumbay,Maharashtra,41981.0,Freelancer,2026-02-21 00:00:00,VERIFIED,LOW
