merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,merchant_status,declared_avg_ticket_size_inr
MCH1035,  Minhas-Khatri  ,5812.0,FOOD & DINING,SOLE_PROPRIETOR,Mumbay,Maharashtra,2024-01-24 00:00:00,ACTIVE,5777.68
MCH1039,Lal-Barad,4814.0,TELECOM,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-07-28 00:43:00,ACTIVE,3062.03
MCH1040,chand plc,5912.0,PHARMACY,INDIVIDUAL,Pune,Maharashtra,2024-09-08 00:00:00,ACTIVE,653.92
MCH1041,Pat1a-S0m,,APPAREL,PRIVATE_LIMITED,Kolkata,West Bengal,2024-04-21 00:00:00,ACTIVE,3701.53
MCH1044,"Jha, Salvi and Setty",5311.0,RETAIL,PARTNERSHIP,Hyderabad,Telangana,2024-10-28 00:00:00,ACTIVE,1084.93
MCH1047,Rana-Aurora,4814.0,TELECOM,PARTNERSHIP,Bangalore,Karnataka,2023-08-20 01:01:00,ACTIVE,1003.46
MCH1050,Trivedi-Zachariah,5699.0,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-01-30 00:00:00,ACTIVE,2479.88
MCH1053,"gera, grover and sehgal",4814.0,TELECOM,INDIVIDUAL,Amritsar,Punjab,2025-02-22 00:00:00,ACTIVE,-708.11
MCH1054,  Cheema Ltd  ,5311.0,DEPARTMENT STORE,PRIVATE_LIMITED,Pune,Maharashtra,2023-05-27 00:00:00,ACTIVE,868.09
MCH1055,Dhingra-Kapoor,5311.0,RETAIL,PARTNERSHIP,Blr,Karnataka,2024-12-30 03:08:34,ACTIVE,-770.74
MCH1056,Mital-Jhaveri,5311.0,DEPARTMENT STORES,PARTNERSHIP,Asr,Punjab,2023-09-10 00:09:34,ACTIVE,5938.05
MCH1058,"Vyas,VirkandDatta",531.0,DEPARTMENT STORE,PARTNERSHIP,Pune,Maharashtra,2023-01-20 00:00:00,ACTIVE,1504.39
MCH1059,Prasad Ltd,4814.0,TELECOM,PARTNERSHIP,Hyderabad,Telangana,2023-03-18 00:00:00,ACTIVE,4187.75
MCH1060,"Subramaniam, Rama and Contractor",4131.0,TRANSPORT & TRAVEL,INDIVIDUAL,Hyderabad,Telangana,2024-05-02 09:00:14,ACTIVE,480.0
MCH1063,"Samra, Sur and Venkataraman",5999.0,RETAIL OTHER,PRIVATE_LIMITED,Chennai,Tamil Nadu,2023-06-13 00:00:00,ACTIVE,1297.7
MCH1064,Mishra-Badami,5942.0,BOOKS & STATIONERY,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-12-03 00:00:00,ACTIVE,2393.66
MCH1068,Mall-Palan,,OTHER,SOLE_PROPRIETOR,Jaipur,Rajasthan,2026-09-02 09:23:00,ACTIVE,663.04
MCH1070,Pandya PLC,5999.0,MISC RETAIL,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-09-03 00:00:00,ACTIVE,1259.2
MCH1071,"Keer, Roy and Narayanan",,PHARMACY,SOLE_PROPRIETOR,Jpr,Rajasthan,2025-04-17 00:00:00,ACTIVE,619.21
MCH1072,Kalla-Khalsa,5812.0,FOOD & DINING,PRIVATE_LIMITED,Mumbai,Maharashtra,2025-11-10 00:00:00,INACTIVE,422.23
MCH1073,"Dasgupta,RayandDara",,PHARMACY,PARTNERSHIP,Lucknow,Uttar Pradesh,2024-09-22 00:00:00,SUSPENDED,1002.63
MCH1075,Pingle-Mohan,5912.0,PHARMACY,SOLE_PROPRIETOR,Ludhiana,Punjab,2025-02-24 00:00:00,ACTIVE,1639.19
MCH1077,Taneja-Nagar,5411.0,GROCERY,INDIVIDUAL,Asr,Punjab,2026-02-27 00:00:00,ACTIVE,358.21
MCH1079,Sharaf and Sons,,TELECOM,SOLE_PROPRIETOR,Pune,Maharashtra,2023-10-20 00:00:00,ACTIVE,455.39
MCH1081,Mistry Group,5812.0,FOOD & DINING,PRIVATE_LIMITED,Mumbay,Maharashtra,2025-05-27 00:00:00,ACTIVE,2299.04
MCH1082,Oommen Inc,7011.0,HOTEL & LODGING,PARTNERSHIP,Amritsar,Punjab,,ACTIVE,833.19
MCH1083,Chaudhry-Bhat,5812.0,FOOD & DINING,SOLE_PROPRIETOR,Jalandhar,Punjab,2025-04-30 00:00:00,INACTIVE,730.39
MCH1084,Krishnamurthy Inc,5999.0,OTHER,PRIVATE_LIMITED,Jalandhar,Punjab,2025-04-21 00:00:00,ACTIVE,4469.21
MCH1086,Agrawal-Sule,,APPAREL,INDIVIDUAL,Ludhiana,Punjab,2023-11-13 00:00:00,ACTIVE,1355.59
MCH1087,"Mitter, Sawhney and Luthra",7011.0,HOTEL & LODGING,PARTNERSHIP,Chennai,Tamil Nadu,2025-04-19 00:00:00,SUSPENDED,2381.71
MCH1089,RANDHAWA-BARAD,594.0,BOOKS & STATIONERY,INDIVIDUAL,Jalandhar,Punjab,2025-12-06 00:00:00,ACTIVE,8714.78
MCH1093,"dubey, uppal and bhatt",5812.0,FOOD & DINING,PRIVATE_LIMITED,Pune,Maharashtra,2025-04-26 00:00:00,INACTIVE,4005.67
MCH1095,Mander Group,481.0,TELECOM,PARTNERSHIP,Kolkata,West Bengal,2023-01-30 03:08:00,ACTIVE,1277.94
MCH1096,Subramanian-Prasad,5699.0,APPAREL,INDIVIDUAL,Hyderabad,Telangana,2025-03-07 02:41:50,ACTIVE,8373.82
MCH1097,"Narayan, Datta and Chowdhury",5999.0,OTHER,INDIVIDUAL,Lucknow,Uttar Pradesh,2025-05-09 00:00:00,ACTIVE,343.8
MCH1098,"raval, yadav and yogi",7011.0,HOTEL & LODGING,PRIVATE_LIMITED,Jaipur,Rajasthan,2023-01-12 00:00:00,ACTIVE,181.0
MCH1100,swamy inc,5311.0,RETAIL,PARTNERSHIP,Ludhiana,Punjab,2024-08-17 00:00:00,INACTIVE,2008.22
MCH1101,Ramaswamy-Prabhakar,5912.0,PHARMACY,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2025-06-02 00:00:00,ACTIVE,8687.0
MCH1104,Chander LLC,4814.0,TELECOM,PRIVATE_LIMITED,Delhi,Delhi,2024-05-09 00:00:00,ACTIVE,778.62
MCH1106,"Agrawal, Ganguly and Kalla",5411.0,GROCERY STORES,PRIVATE_LIMITED,Delhi,Delhi,2024-08-25 00:00:00,ACTIVE,1100.28
MCH1107,Sen-Das,,TELECOM,PRIVATE_LIMITED,Chennai,Tamil Nadu,2024-09-16 00:00:00,ACTIVE,
MCH1109,Sinha-Bumb,4131.0,TRANSPORT & TRAVEL,PRIVATE_LIMITED,Amritsar,Punjab,2023-11-02 07:38:00,ACTIVE,-1745.05
MCH1115,Nadkarni LLC,4131.0,TRANSPORT & TRAVEL,PARTNERSHIP,Jalandhar,Punjab,,ACTIVE,6943.0
MCH1118,"BASAK, PILLAI AND ARORA",5999.0,RETAIL OTHER,PRIVATE_LIMITED,Chennai,Tamil Nadu,2026-01-06 00:00:00,ACTIVE,3933.25
MCH1122,"Rana, Choudhury and Garde",5912.0,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2024-11-30 00:00:00,ACTIVE,4792.92
MCH1124,"Hayre, Chana and Bhasin",5699.0,CLOTHING,SOLE_PROPRIETOR,Jaipur,Rajasthan,2024-10-05 00:00:00,ACTIVE,843.01
MCH1126,"Nayak, Dhaliwal and Soman",5411.0,GROCERY STORES,PARTNERSHIP,Jalandhar,Punjab,2026-02-12 00:00:00,ACTIVE,564.83
MCH1128,Natt-Keer,599.0,RETAIL OTHER,SOLE_PROPRIETOR,Hyderabad,Telangana,2026-01-10 12:42:55,ACTIVE,1028.32
MCH1130,"K0thari, Singh and Sura",5311.0,DEPARTMENT STORES,SOLE_PROPRIETOR,Ludhiana,Punjab,2025-09-20 00:31:00,ACTIVE,3514.91
MCH1132,Cheema Inc,5999.0,RETAIL OTHER,SOLE_PROPRIETOR,Ludhiana,Punjab,2023-09-10 00:00:00,ACTIVE,
MCH1133,Shere Ltd,5912.0,PHARMACY,PARTNERSHIP,Bengaluru,Karnataka,2025-10-06 00:00:00,ACTIVE,11501.53
MCH1134,"Sani, Uppal and Pillai",,PHARMACY,PARTNERSHIP,Kolkata,West Bengal,2025-11-04 00:00:00,ACTIVE,6246.52
MCH1136,"bahri, kanda and seth",5942.0,BOOK STORE,PRIVATE_LIMITED,Chennai,Tamil Nadu,2023-07-17 00:00:00,ACTIVE,896.84
MCH1138,"Shan,BuchandTank",5942.0,BOOKS & STATIONERY,SOLE_PROPRIETOR,Bangalore,Karnataka,2024-03-07 21:25:00,ACTIVE,1369.64
MCH1142,"Master, Soni and Kapadia",4814.0,TELECOM,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2024-10-06 12:07:57,ACTIVE,252.13
MCH1143,ARYA-KHANNA,4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Jalandhar,Punjab,2023-08-16 00:00:00,ACTIVE,486.39
MCH1144,Morar-Rattan,5699.0,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-01-20 00:00:00,ACTIVE,1182.28
MCH1147,Dayal-Sabharwal,4814.0,TELECOM,INDIVIDUAL,Kolkata,West Bengal,2023-11-23 00:00:00,INACTIVE,939.97
MCH1148,Deep-Manda,4131.0,TRANSPORT & TRAVEL,INDIVIDUAL,Asr,Punjab,2025-06-15 00:35:23,ACTIVE,3461.0
MCH1152,Raman-Choudhury,,GROCERY,PARTNERSHIP,Chennai,Tamil Nadu,2025-12-19 00:00:00,ACTIVE,233.0
MCH1153,"Oommen, Sastry and Varty",5311.0,DEPARTMENT STORE,PRIVATE_LIMITED,Asr,Punjab,2024-06-17 00:00:00,ACTIVE,873.51
MCH1154,"oommen, tata and randhawa",,HOTEL & LODGING,PARTNERSHIP,Kolkata,West Bengal,2025-04-18 00:00:00,ACTIVE,655.3
MCH1155,Sha LLC,4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Amritsar,Punjab,2024-08-03 00:00:00,INACTIVE,1753.08
MCH1159,De Ltd,5942.0,BOOKS & STATIONERY,INDIVIDUAL,Kolkata,West Bengal,2025-12-05 15:35:26,ACTIVE,1672.61
MCH1161,"Kuruvilla, Pall and Ravel",5411.0,GROCERY,PRIVATE_LIMITED,Jalandhar,Punjab,2023-12-29 00:00:00,ACTIVE,549.82
MCH1162,"Anand, Mistry and Khare",5999.0,OTHER,PRIVATE_LIMITED,New Delhi,Delhi,2025-12-02 00:00:00,ACTIVE,1311.0
MCH1163,"Gour, Comar and Palan",4814.0,TELECOM,PARTNERSHIP,Ludhiana,Punjab,2025-10-25 00:00:00,INACTIVE,5449.73
MCH1164,Goda PLC,4131.0,TRANSPORT & TRAVEL,PARTNERSHIP,Ludhiana,Punjab,2025-10-27 00:00:00,ACTIVE,953.0
MCH1168,"Seshadri, Borah and Sachdeva",,PHARMACY,INDIVIDUAL,Pune,Maharashtra,2026-01-04 03:19:25,ACTIVE,4780.41
MCH1169,Dey-Gupta,5812.0,EATING PLACE,INDIVIDUAL,Blr,Karnataka,2023-03-17 00:00:00,ACTIVE,1427.7
MCH1170,"Wali, Bala and Sanghvi",531.0,DEPARTMENT STORE,SOLE_PROPRIETOR,Blr,Karnataka,2023-01-04 15:30:00,INACTIVE,1109.65
MCH1171,Sampath-Shroff,591.0,PHARMACY,PARTNERSHIP,Dilli,Delhi,2026-01-19 05:21:00,ACTIVE,393.94
MCH1174,Mander-Kari,541.0,GROCERY,PARTNERSHIP,Jalandhar,Punjab,2023-01-05 00:00:00,ACTIVE,1013.97
MCH1177,"Mistry, Savant and Jha",4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Amritsar,Punjab,2025-08-29 18:32:00,ACTIVE,1663.99
MCH1179,Suresh-Chand,5942.0,BOOKS & STATIONERY,PARTNERSHIP,Chennai,Tamil Nadu,2025-11-19 00:00:00,ACTIVE,
MCH1180,Sangha and Sons,5411.0,GROCERY,INDIVIDUAL,Hyderabad,Telangana,2023-11-03 00:00:00,ACTIVE,993.08
MCH1183,Rajan LLC,5812.0,FOOD & DINING,PRIVATE_LIMITED,Bengaluru,Karnataka,2023-02-02 00:00:00,ACTIVE,1717.84
MCH1185,"Buch, Barad and Toor",5999.0,OTHER,PARTNERSHIP,Jalandhar,Punjab,2024-06-16 00:00:00,ACTIVE,2955.34
MCH1188,M0rar Ltd,5912.0,PHARMACY,INDIVIDUAL,Hyderabad,Telangana,2024-02-19 00:00:00,ACTIVE,1156.7
MCH1189,"rai, doctor and dar",5699.0,APPAREL,SOLE_PROPRIETOR,Mumbay,Maharashtra,2024-11-13 20:40:00,ACTIVE,1513.0
MCH1191,raval ltd,4814.0,TELECOM,INDIVIDUAL,Kolkata,West Bengal,2023-01-19 00:18:56,INACTIVE,1670.52
MCH1193,"Padmanabhan, Sekhon and Dhawan",5812.0,FOOD & DINING,PARTNERSHIP,Lucknow,Uttar Pradesh,2025-01-16 00:00:00,ACTIVE,1712.05
MCH1195,Cherian-Rana,4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Jalandhar,Punjab,2025-09-09 00:00:00,ACTIVE,364.17
MCH1197,"Gaba, Wadhwa and Sahni",5411.0,GROCERY STORES,PRIVATE_LIMITED,Mumbai,Maharashtra,2024-01-08 00:00:00,ACTIVE,488.96
MCH1199,"  Chatterjee, Chada and Ghose  ",5812.0,EATING PLACE,PRIVATE_LIMITED,Chennai,Tamil Nadu,2025-04-14 01:46:00,ACTIVE,6574.56
MCH1200,  Vora and Sons  ,,APPAREL,PRIVATE_LIMITED,Pune,Maharashtra,2023-02-08 00:00:00,ACTIVE,1072.0
MCH1202,KOSHY-BORDE,5311.0,RETAIL,PARTNERSHIP,Ludhiana,Punjab,2023-04-27 14:11:10,ACTIVE,1998.99
MCH1204,  Rana Group  ,5311.0,DEPARTMENT STORE,PRIVATE_LIMITED,Jpr,Rajasthan,2025-05-24 15:30:29,ACTIVE,733.33
MCH1207,"pillai, oak and barman",5812.0,FOOD & DINING,INDIVIDUAL,Delhi,Delhi,2024-04-11 00:00:00,ACTIVE,1280.08
MCH1210,"Dua, Buch and Kaul",,BOOK STORE,PRIVATE_LIMITED,Mumbai,Maharashtra,,SUSPENDED,1903.0
MCH1211,"  Munshi, Pai and Sibal  ",5311.0,RETAIL,SOLE_PROPRIETOR,Delhi,Delhi,2023-01-04 00:00:00,ACTIVE,296.16
MCH1213,Ray LLC,5912.0,PHARMACY,PARTNERSHIP,Pune,Maharashtra,2024-01-07 18:33:52,ACTIVE,1556.0
MCH1214,Padmanabhan Gr0up,4814.0,TELECOM,INDIVIDUAL,Amritsar,Punjab,2025-08-24 00:00:00,ACTIVE,-362.46
MCH1216,Mani Ltd,5999.0,MISC RETAIL,SOLE_PROPRIETOR,Amritsar,Punjab,2025-04-05 19:50:02,ACTIVE,228.0
MCH1219,Buta1a Ltd,569.0,APPAREL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2025-10-23 00:00:00,ACTIVE,1046.51
MCH1221,"SASTRY, KAPOOR AND VARUGHESE",5812.0,EATING PLACE,PARTNERSHIP,Jalandhar,Punjab,2025-04-26 00:00:00,INACTIVE,3430.0
MCH1222,Dass-Dugar,5411.0,GROCERY,SOLE_PROPRIETOR,Kolkata,West Bengal,2023-11-07 18:19:21,ACTIVE,
MCH1224,setty-sami,5942.0,BOOKS & STATIONERY,INDIVIDUAL,Kolkata,West Bengal,2023-02-09 05:59:00,ACTIVE,609.48
MCH1226,"APTE, PINGLE AND PAL",,HOTEL & LODGING,PRIVATE_LIMITED,Hyderabad,Telangana,2024-03-01 00:00:00,ACTIVE,2290.0
MCH1227,  Dyal Ltd  ,5999.0,OTHER,INDIVIDUAL,Ludhiana,Punjab,2025-09-21 00:00:00,ACTIVE,602.09
MCH1229,"Sen, Dewan and Tripathi",5942.0,BOOKS & STATIONERY,PRIVATE_LIMITED,Asr,Punjab,2025-02-19 00:00:00,ACTIVE,2028.74
MCH1233,"Upadhyay, Lall and Kala",5942.0,BOOKS & STATIONERY,PRIVATE_LIMITED,Pune,Maharashtra,2024-07-19 00:00:00,ACTIVE,-1465.98
MCH1234,"Shah, Pathak and Bera",,HOTEL & LODGING,PARTNERSHIP,Jpr,Rajasthan,2025-06-10 00:00:00,ACTIVE,354.58
MCH1237,Agarwal-Kibe,701.0,HOTEL & LODGING,PARTNERSHIP,Mumbay,Maharashtra,2023-03-30 00:00:00,ACTIVE,750.84
MCH1243,"Buch, Atwal and Roy",5912.0,PHARMACY,PARTNERSHIP,Ludhiana,Punjab,2025-12-06 08:43:00,ACTIVE,1323.94
MCH1245,"Kumer, Varghese and Dhawan",,PHARMACY,PARTNERSHIP,Pune,Maharashtra,2023-08-23 00:00:00,ACTIVE,725.32
MCH1247,"Nayak, Lala and Pillai",5411.0,GROCERY,SOLE_PROPRIETOR,Bengaluru,Karnataka,2023-01-19 00:00:00,INACTIVE,677.02
MCH1249,"Garg, Saha and Rattan",5999.0,OTHER,PARTNERSHIP,Jalandhar,Punjab,2023-08-21 00:00:00,ACTIVE,-854.43
MCH1250,BHARDWAJ-WABLE,4131.0,TRANSPORT & TRAVEL,PRIVATE_LIMITED,Pune,Maharashtra,2025-04-11 10:39:00,ACTIVE,515.0
MCH1254,Pant-Muni,4131.0,TRANSPORT & TRAVEL,PARTNERSHIP,Delhi,Delhi,2023-10-21 00:00:00,ACTIVE,781.27
MCH1255,La1a and S0ns,4814.0,TELECOM,PARTNERSHIP,Kolkata,West Bengal,2023-07-19 00:00:00,INACTIVE,772.22
MCH1256,Vala Inc,591.0,PHARMACY,SOLE_PROPRIETOR,Kolkata,West Bengal,2025-01-17 00:00:00,SUSPENDED,1415.24
MCH1257,Varma-Maharaj,5942.0,BOOKS & STATIONERY,SOLE_PROPRIETOR,Kolkata,West Bengal,2023-04-15 16:16:00,ACTIVE,3059.27
MCH1259,"Wagle, Verma and Ramanathan",,PHARMACY,PRIVATE_LIMITED,Jaipur,Rajasthan,2025-08-12 00:00:00,ACTIVE,548.2
MCH1260,KOTHARI-NADKARNI,5699.0,CLOTHING,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,2026-01-15 00:00:00,ACTIVE,2375.4
MCH1261,"Cheema, Savant and Bakshi",5311.0,RETAIL,SOLE_PROPRIETOR,Ludhiana,Punjab,2024-06-03 00:00:00,INACTIVE,
MCH1262,Lad and Sons,7011.0,HOTEL & LODGING,INDIVIDUAL,Jalandhar,Punjab,2025-11-17 01:26:45,ACTIVE,503.65
MCH1263,Memon-Choudhary,591.0,PHARMACY,PRIVATE_LIMITED,Hyderabad,Telangana,2025-11-27 22:51:46,ACTIVE,1888.17
MCH1267,master-tiwari,4814.0,TELECOM,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,,INACTIVE,1213.17
MCH1268,Vyas Ltd,5311.0,RETAIL,INDIVIDUAL,Amritsar,Punjab,2023-06-28 00:00:00,ACTIVE,
MCH1269,SHUKLA PLC,5699.0,CLOTHING,INDIVIDUAL,Hyderabad,Telangana,2025-03-03 19:00:09,ACTIVE,1758.28
MCH1270,Tiwari and Sons,5311.0,DEPARTMENT STORE,PRIVATE_LIMITED,Hyderabad,Telangana,2023-06-02 14:56:50,ACTIVE,1107.02
MCH1272,  Garg Inc  ,4131.0,TRANSPORT & TRAVEL,PARTNERSHIP,Jpr,Rajasthan,2023-05-28 22:37:00,ACTIVE,549.87
MCH1275,Kata Group,7011.0,HOTEL & LODGING,PARTNERSHIP,Lucknow,Uttar Pradesh,2025-11-09 07:33:00,ACTIVE,252.53
MCH1277,Deol-Nayak,4131.0,TRANSPORT & TRAVEL,INDIVIDUAL,Bengaluru,Karnataka,,ACTIVE,1188.0
MCH1280,"Ben, Madan and Dey",5942.0,BOOKS & STATIONERY,PRIVATE_LIMITED,Lucknow,Uttar Pradesh,2025-06-13 00:00:00,ACTIVE,1308.81
MCH1285,hayer plc,5912.0,PHARMACY,INDIVIDUAL,Blr,Karnataka,2023-09-24 07:15:32,ACTIVE,436.7
MCH1288,"jain, loke and zacharia",4131.0,TRANSPORT & TRAVEL,SOLE_PROPRIETOR,Blr,Karnataka,2023-07-17 08:08:00,ACTIVE,915.81
MCH1292,Gera-Nayak,7011.0,HOTEL & LODGING,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2023-09-25 00:00:00,ACTIVE,267.0
MCH1293,"Kohli, Rajan and Nair",5699.0,APPAREL,SOLE_PROPRIETOR,Jaipur,Rajasthan,2023-04-09 06:47:00,ACTIVE,915.17
MCH1294,Rajagopalan Group,591.0,PHARMACY,INDIVIDUAL,Amritsar,Punjab,2024-08-29 05:38:00,ACTIVE,539.82
MCH1296,Gaba-Rama,5912.0,PHARMACY,INDIVIDUAL,Delhi,Delhi,2023-01-16 00:00:00,ACTIVE,2547.8
MCH1297,Luthra and Sons,5411.0,GROCERY STORES,PRIVATE_LIMITED,New Delhi,Delhi,2023-06-12 01:16:32,ACTIVE,381.86
MCH1298,"Raghavan,ReddyandSangha",5942.0,BOOKS & STATIONERY,SOLE_PROPRIETOR,Hyderabad,Telangana,2025-04-28 00:00:00,ACTIVE,364.92
MCH1299,mutti plc,5699.0,CLOTHING,PARTNERSHIP,Jaipur,Rajasthan,2023-06-27 00:00:00,ACTIVE,605.64
MCH1304,sama ltd,591.0,PHARMACY,INDIVIDUAL,Bengaluru,Karnataka,2024-02-27 00:00:00,ACTIVE,4095.57
MCH1305,Ghose-Batta,413.0,TRANSPORT & TRAVEL,INDIVIDUAL,Hyderabad,Telangana,2025-12-20 00:00:00,INACTIVE,380.06
MCH1308,SUBRAMANIAM-SHANKAR,5912.0,PHARMACY,PARTNERSHIP,Bengaluru,Karnataka,2024-12-28 00:00:00,INACTIVE,2112.78
MCH1309,"Jhaveri, Dasgupta and Kata",5699.0,APPAREL,INDIVIDUAL,Mumbai,Maharashtra,2023-09-20 00:00:00,ACTIVE,929.23
MCH1311,"Dugal, Munshi and Kunda",4814.0,TELECOM,INDIVIDUAL,Jaipur,Rajasthan,2025-03-27 21:22:00,ACTIVE,1605.92
MCH1314,"Pant, Mammen and Doctor",5699.0,CLOTHING,INDIVIDUAL,Jaipur,Rajasthan,2023-11-12 16:47:12,ACTIVE,1045.43
MCH1318,GUPTA LLC,4814.0,TELECOM,PRIVATE_LIMITED,Jaipur,Rajasthan,,ACTIVE,
MCH1320,  Babu-Khatri  ,5699.0,APPAREL,INDIVIDUAL,Kolkata,West Bengal,2023-11-24 10:52:12,SUSPENDED,
MCH1321,Borah-Dhaliwal,7011.0,HOTEL & LODGING,SOLE_PROPRIETOR,Amritsar,Punjab,2025-12-06 00:00:00,ACTIVE,7973.89
MCH1323,DHAR AND SONS,5942.0,BOOKS & STATIONERY,PARTNERSHIP,Amritsar,Punjab,,ACTIVE,-3792.9
MCH1324,"EDWIN, SAVANT AND TANDON",7011.0,HOTEL & LODGING,PARTNERSHIP,Bangalore,Karnataka,2026-01-26 00:00:00,ACTIVE,1192.31
MCH1326,"Chaudhry, Agrawa1 and Sridhar",5942.0,BOOKS & STATIONERY,SOLE_PROPRIETOR,Bangalore,Karnataka,2024-05-20 00:00:00,ACTIVE,177.58
MCH1327,GandhiPLC,5699.0,APPAREL,SOLE_PROPRIETOR,Lucknow,Uttar Pradesh,2023-11-02 00:00:00,ACTIVE,902.09
MCH1328,Buch and Sons,7011.0,HOTEL & LODGING,SOLE_PROPRIETOR,Chennai,Tamil Nadu,2025-03-28 00:00:00,ACTIVE,711.0
MCH1331,"Garg, Bobal and Jain",4131.0,TRANSPORT & TRAVEL,INDIVIDUAL,Kolkata,West Bengal,2024-06-29 00:00:00,ACTIVE,3720.61
MCH1333,Sastry PLC,4814.0,TELECOM,INDIVIDUAL,Amritsar,Punjab,2025-09-18 18:25:49,INACTIVE,1548.51
MCH1334,"KALITA, SARRAF AND BHARDWAJ",5999.0,RETAIL OTHER,INDIVIDUAL,Bangalore,Karnataka,2025-09-28 00:00:00,ACTIVE,1780.83
MCH1335,"Wagle, Kamdar and Mallick",7011.0,HOTEL & LODGING,SOLE_PROPRIETOR,Mumbai,Maharashtra,2024-05-03 01:55:00,SUSPENDED,398.0
MCH1336,Tandon-Pant,5311.0,DEPARTMENT STORE,SOLE_PROPRIETOR,Jaipur,Rajasthan,2025-09-04 05:40:18,ACTIVE,991.0
MCH1340,"Dash, Saxena and Kara",4131.0,TRANSPORT & TRAVEL,PRIVATE_LIMITED,Hyderabad,Telangana,2024-04-03 00:00:00,INACTIVE,4203.63
