txn_id,timestamp,user_id,merchant_id,amount_inr,utr,utr_valid,mcc,status,merchant_name,merchant_category,merchant_status,city,state,kyc_status,risk_segment,occupation,chargeback_count,chargeback_amount,has_chargeback,risk_flag,date,hour,month
TXN00016765,2026-03-26 12:18:46,USR93890,MCH5711,20091.0,UTR9203187638,True,,FAILED,,,,,,,,,0.0,0.0,False,NONE,2026-03-26,12,2026-03
TXN00017694,2026-01-13 15:03:46,USR40732,MCH9490,9002.0,UTR2443914333,True,5411.0,FAILED,,,,,,VERIFIED,UNKNOWN,Gig Worker,0.0,0.0,False,NONE,2026-01-13,15,2026-01
TXN00006528,2026-03-28 10:06:31,USR29622,MCH4964,20882.75,UTR4641185560,True,,FAILED,SARKAR-GODA,DEPARTMENT STORE,SUSPENDED,Pune,Maharashtra,VERIFIED,LOW,Freelancer,0.0,0.0,False,NONE,2026-03-28,10,2026-03
TXN00013401,2026-04-03 18:19:19,USR31880,MCH1798,24701.82,UTR8784371040,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-04-03,18,2026-04
TXN00004494,2026-02-24 12:34:51,USR95466,MCH5376,19908.13,UTR0075153514,True,7011.0,SUCCESS,"Narayanan, Palla and Tripathi",TELECOM,ACTIVE,Ludhiana,Punjab,,,,0.0,0.0,False,NONE,2026-02-24,12,2026-02
TXN00011094,2026-03-05 11:29:40,USR75900,MCH1058,8314.42,UTR9917244266,True,,SUCCESS,"Vyas,VirkandDatta",DEPARTMENT STORE,ACTIVE,Pune,Maharashtra,REJECTED,UNKNOWN,Self Employed,0.0,0.0,False,NONE,2026-03-05,11,2026-03
TXN00017273,2026-01-14 18:30:01,USR76790,MCH6075,13085.0,UTR0709799346,True,4131.0,FAILED,"Lad, Menon and Tiwari",TELECOM,ACTIVE,Blr,Karnataka,VERIFIED,LOW,Farmer,0.0,0.0,False,NONE,2026-01-14,18,2026-01
TXN00009281,2026-02-21 00:15:01,USR68024,MCH5104,10455.06,UTR1967979496,True,5812.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-21,0,2026-02
TXN00006056,2026-01-18 14:04:37,USR74396,MCH3197,12329.64,UTR9066186368,True,4131.0,SUCCESS,,,,,,VERIFIED,LOW,Student,0.0,0.0,False,NONE,2026-01-18,14,2026-01
TXN00010147,2026-01-16 17:24:29,USR91777,MCH4915,19600.29,UTR0387036525,True,4131.0,SUCCESS,,,,,,VERIFIED,LOW,Gig Worker,0.0,0.0,False,NONE,2026-01-16,17,2026-01
TXN00008021,2026-02-13 00:38:19,USR87162,MCH8216,12452.0,UTR6064791461,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-13,0,2026-02
TXN00015299,2026-03-12 03:39:52,USR81720,MCH9260,15641.17,UTR8680623402,True,5812.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-12,3,2026-03
TXN00012856,2026-03-16 23:45:31,USR76098,MCH6109,5205.0,UTR9338335376,True,5912.0,FAILED,Sampath Ltd,TELECOM,ACTIVE,Ludhiana,Punjab,,,,0.0,0.0,False,NONE,2026-03-16,23,2026-03
TXN00002230,2026-02-27 04:10:10,USR41686,MCH3071,7504.98,UTR9557966907,True,5812.0,SUCCESS,Misra-Padmanabhan,FOOD & DINING,ACTIVE,Ludhiana,Punjab,VERIFIED,UNKNOWN,Student,0.0,0.0,False,NONE,2026-02-27,4,2026-02
TXN00008304,2026-03-20 05:00:36,USR95674,MCH5401,5379.22,UTR8910180483,True,,SUCCESS,"Sama, Ar0ra and Mem0n",BOOKS & STATIONERY,ACTIVE,Kolkata,West Bengal,PENDING,MEDIUM,Salaried,1.0,6321.44,True,CHARGEBACK_LINKED,2026-03-20,5,2026-03
TXN00002751,2026-08-01 18:34:26,USR62352,MCH6961,9710.26,UTR2411349944,True,4131.0,SUCCESS,,,,,,PENDING,LOW,Salaried,0.0,0.0,False,NONE,2026-08-01,18,2026-08
TXN00016154,2026-12-01 06:43:49,USR24396,MCH4549,7444.86,UTR9010745901,True,7011.0,SUCCESS,,,,,,VERIFIED,HIGH,Farmer,0.0,0.0,False,HIGH_RISK_USER,2026-12-01,6,2026-12
TXN00002002,2026-02-02 21:46:04,USR30273,MCH3715,6182.0,UTR4088897098,True,5411.0,SUCCESS,BANSAL INC,BOOKS & STATIONERY,SUSPENDED,Lucknow,Uttar Pradesh,,,,0.0,0.0,False,NONE,2026-02-02,21,2026-02
TXN00017871,2026-03-23 02:31:39,USR84134,MCH7932,1129.96,UTR2897803833,True,5411.0,FAILED,SETHI LTD,TELECOM,ACTIVE,Bengaluru,Karnataka,,,,2.0,6505.83,True,CHARGEBACK_LINKED,2026-03-23,2,2026-03
TXN00009906,2026-02-19 18:35:29,USR91737,MCH9669,9793.08,UTR7243374821,True,7011.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-19,18,2026-02
TXN00012105,2026-02-11 21:01:18,USR62385,MCH7681,7551.46,UTR8310520572,True,4131.0,SUCCESS,"Bal, Kakar and Pillai",TRANSPORT & TRAVEL,ACTIVE,Pune,Maharashtra,,,,1.0,1866.96,True,CHARGEBACK_LINKED,2026-02-11,21,2026-02
TXN00003363,2026-03-30 03:38:47,USR87291,MCH4490,17312.05,UTR6688677473,True,5912.0,SUCCESS,"DOSHI, RAJ AND BUMB",GROCERY,ACTIVE,Ludhiana,Punjab,,,,0.0,0.0,False,NONE,2026-03-30,3,2026-03
TXN00004301,2026-03-15 01:52:40,USR98963,MCH8511,2024.58,UTR0403071756,True,4131.0,PENDING,Bhattacharyya LLC,TRANSPORT & TRAVEL,ACTIVE,Kolkata,West Bengal,VERIFIED,LOW,Business Owner,0.0,0.0,False,NONE,2026-03-15,1,2026-03
TXN00012813,2026-01-09 06:36:33,USR20191,MCH8936,7452.0,UTR9559448527,True,,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-09,6,2026-01
TXN00009678,2026-03-06 07:59:54,USR64256,MCH3235,1728.09,,False,7011.0,SUCCESS,,,,,,,,,0.0,0.0,False,INVALID_OR_MISSING_UTR,2026-03-06,7,2026-03
TXN00017971,2026-01-03 10:55:10,USR62625,MCH9776,1198.21,UTR7890902701,True,5812.0,SUCCESS,,,,,,VERIFIED,LOW,Business Owner,0.0,0.0,False,NONE,2026-01-03,10,2026-01
TXN00016152,2026-01-21 09:16:16,USR20475,MCH5563,13950.77,UTR8762321453,True,5411.0,SUCCESS,"Dubey, Wali and Yadav",APPAREL,ACTIVE,Kolkata,West Bengal,,,,0.0,0.0,False,NONE,2026-01-21,9,2026-01
TXN00011334,2026-03-29 13:01:14,USR32767,MCH8033,18247.02,UTR4892994283,True,5812.0,SUCCESS,Gole Group,BOOK STORE,ACTIVE,Jalandhar,Punjab,VERIFIED,LOW,Student,0.0,0.0,False,NONE,2026-03-29,13,2026-03
TXN00012493,2026-03-20 10:23:23,USR18021,MCH3684,8404.49,UTR0110455957,True,5812.0,SUCCESS,Chahal-Reddy,GROCERY,ACTIVE,Delhi,Delhi,VERIFIED,LOW,Self Employed,0.0,0.0,False,NONE,2026-03-20,10,2026-03
TXN00002376,2026-02-02 00:00:00,USR38437,MCH4578,6891.78,UTR5079845432,True,5411.0,SUCCESS,Bedi LLC,BOOKS & STATIONERY,ACTIVE,Kolkata,West Bengal,VERIFIED,LOW,Freelancer,0.0,0.0,False,NONE,2026-02-02,0,2026-02
TXN00016897,2026-02-01 02:05:20,USR67814,MCH5171,1728.83,UTR9272463214,True,4131.0,SUCCESS,"pandya, bawa and kibe",TRANSPORT & TRAVEL,ACTIVE,Jpr,Rajasthan,,,,0.0,0.0,False,NONE,2026-02-01,2,2026-02
TXN00003924,2026-02-09 22:29:17,USR42819,MCH7536,6655.55,UTR9885770586,True,4131.0,FAILED,Kalla-Deo,DEPARTMENT STORE,ACTIVE,Kolkata,West Bengal,,,,1.0,2479.92,True,CHARGEBACK_LINKED,2026-02-09,22,2026-02
TXN00012810,2026-01-28 00:00:00,USR16089,MCH3478,14920.61,UTR2659964448,True,5912.0,SUCCESS,,,,,,VERIFIED,LOW,Student,1.0,14920.61,True,CHARGEBACK_LINKED,2026-01-28,0,2026-01
TXN00014604,2026-02-07 00:55:35,USR90912,MCH3992,6800.75,UTR3515806131,True,4131.0,SUCCESS,,,,,,VERIFIED,LOW,Gig Worker,0.0,0.0,False,NONE,2026-02-07,0,2026-02
TXN00008536,2026-01-30 07:20:31,USR90160,MCH8495,8104.15,,False,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,INVALID_OR_MISSING_UTR,2026-01-30,7,2026-01
TXN00014556,2026-01-15 17:25:05,USR81688,MCH2222,10183.23,UTR4323114461,True,5912.0,SUCCESS,"Mani, Ravel and Agrawal",APPAREL,ACTIVE,Lucknow,Uttar Pradesh,VERIFIED,LOW,Freelancer,0.0,0.0,False,NONE,2026-01-15,17,2026-01
TXN00004965,2026-01-17 05:03:06,USR65014,MCH3468,12070.2,UTR0153287222,True,4131.0,SUCCESS,Aurora-Ben,HOTEL & LODGING,ACTIVE,Hyderabad,Telangana,VERIFIED,MEDIUM,Business Owner,0.0,0.0,False,NONE,2026-01-17,5,2026-01
TXN00012380,2026-03-29 17:51:12,USR11339,MCH9899,22522.69,UTR5306302554,True,4131.0,SUCCESS,,,,,,PENDING,LOW,Farmer,0.0,0.0,False,NONE,2026-03-29,17,2026-03
TXN00016736,2026-02-13 10:42:16,USR86671,MCH1318,22925.42,UTR8483573352,True,5411.0,SUCCESS,GUPTA LLC,TELECOM,ACTIVE,Jaipur,Rajasthan,,,,1.0,15548.64,True,CHARGEBACK_LINKED,2026-02-13,10,2026-02
TXN00006289,2026-02-18 07:48:57,USR35502,MCH6411,24165.1,UTR8869496578,True,,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-18,7,2026-02
TXN00013908,2026-02-19 08:21:13,USR13844,MCH6787,915.95,UTR5021961853,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-19,8,2026-02
TXN00005968,2026-02-20 00:00:00,USR20374,MCH9694,2195.0,UTR0092134543,True,5411.0,SUCCESS,,,,,,VERIFIED,MEDIUM,Freelancer,1.0,2917.69,True,CHARGEBACK_LINKED,2026-02-20,0,2026-02
TXN00010276,2026-01-14 14:05:26,USR50541,MCH2324,12011.12,UTR4772427896,True,5812.0,PENDING,,,,,,,,,0.0,0.0,False,NONE,2026-01-14,14,2026-01
TXN00006474,2026-01-16 05:40:02,USR15164,MCH2258,24223.92,UTR6806916882,True,5411.0,FAILED,Walia Group,DEPARTMENT STORE,ACTIVE,Jalandhar,Punjab,VERIFIED,LOW,Retired,0.0,0.0,False,NONE,2026-01-16,5,2026-01
TXN00010498,2026-02-02 10:57:46,USR80912,MCH8382,14757.01,UTR4263242407,True,4131.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-02,10,2026-02
TXN00014376,2026-03-07 04:27:25,USR70302,MCH5376,20627.72,UTR2595478610,True,5411.0,SUCCESS,"Narayanan, Palla and Tripathi",TELECOM,ACTIVE,Ludhiana,Punjab,,,,0.0,0.0,False,NONE,2026-03-07,4,2026-03
TXN00000489,2026-01-16 07:34:36,USR16400,MCH8181,23760.78,UTR6606633603,True,7011.0,SUCCESS,Mall-Chatterjee,TRANSPORT & TRAVEL,ACTIVE,Amritsar,Punjab,VERIFIED,MEDIUM,Retired,0.0,0.0,False,NONE,2026-01-16,7,2026-01
TXN00015714,2026-01-13 22:39:19,USR28439,MCH5333,21372.31,UTR6760441626,True,5812.0,SUCCESS,  Rajagopal-Agate  ,TELECOM,INACTIVE,Asr,Punjab,,,,0.0,0.0,False,NONE,2026-01-13,22,2026-01
TXN00014711,2026-02-06 08:05:02,USR90525,MCH9888,10222.36,UTR4063458835,True,5411.0,SUCCESS,"Contractor, Mohanty and Devi",PHARMACY,ACTIVE,Chennai,Tamil Nadu,,,,1.0,1709.84,True,CHARGEBACK_LINKED,2026-02-06,8,2026-02
TXN00018474,2026-02-04 14:40:14,USR50590,MCH6271,10839.22,UTR4596136519,True,5411.0,SUCCESS,,,,,,VERIFIED,LOW,Self Employed,0.0,0.0,False,NONE,2026-02-04,14,2026-02
TXN00000224,2026-03-01 03:00:12,USR15259,MCH1799,9199.22,UTR2738330060,True,,SUCCESS,,,,,,VERIFIED,MEDIUM,Gig Worker,0.0,0.0,False,NONE,2026-03-01,3,2026-03
TXN00005633,2026-01-29 07:58:11,USR69720,MCH9129,4672.89,UTR4546388237,True,7011.0,SUCCESS,"sinha, chauhan and sathe",GROCERY,ACTIVE,Kolkata,West Bengal,,,,0.0,0.0,False,NONE,2026-01-29,7,2026-01
TXN00004328,2026-02-03 11:49:56,USR19395,MCH4330,24563.21,UTR7701194945,True,,SUCCESS,"Viswanathan, Morar and Barad",TRANSPORT & TRAVEL,ACTIVE,Jalandhar,Punjab,VERIFIED,LOW,Gig Worker,0.0,0.0,False,NONE,2026-02-03,11,2026-02
TXN00009685,2026-02-17 05:55:50,USR48293,MCH3778,13853.0,UTR0416062097,True,7011.0,SUCCESS,"Bhagat, Sama and Murthy",TELECOM,INACTIVE,Amritsar,Punjab,,,,0.0,0.0,False,NONE,2026-02-17,5,2026-02
TXN00002724,2026-03-14 04:01:56,USR74105,MCH2807,11455.31,UTR9017145438,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-14,4,2026-03
TXN00012687,2026-01-21 02:49:51,USR17936,MCH4330,15994.0,UTR9292098304,True,,SUCCESS,"Viswanathan, Morar and Barad",TRANSPORT & TRAVEL,ACTIVE,Jalandhar,Punjab,,,,0.0,0.0,False,NONE,2026-01-21,2,2026-01
TXN00013883,2026-01-31 20:52:51,USR66862,MCH5569,16368.07,UTR2460914781,True,5912.0,SUCCESS,"Thaman, Kar and Dass",MISC RETAIL,INACTIVE,Mumbai,Maharashtra,,,,1.0,3588.0,True,CHARGEBACK_LINKED,2026-01-31,20,2026-01
TXN00010284,2026-02-07 17:53:38,USR84713,MCH8033,20724.96,UTR9679708700,True,5912.0,SUCCESS,Gole Group,BOOK STORE,ACTIVE,Jalandhar,Punjab,,,,0.0,0.0,False,NONE,2026-02-07,17,2026-02
TXN00016950,2026-03-02 21:52:21,USR92059,MCH5284,8732.0,UTR9637214589,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-02,21,2026-03
TXN00001288,2026-03-31 16:52:07,USR62469,MCH4709,8772.17,UTR4380253542,True,5812.0,SUCCESS,Ramakrishnan-Palla,TELECOM,ACTIVE,Blr,Karnataka,,,,0.0,0.0,False,NONE,2026-03-31,16,2026-03
TXN00018168,2026-02-26 18:15:26,USR18484,MCH7007,14231.14,UTR0728524782,True,5411.0,SUCCESS,Sastry-Soni,HOTEL & LODGING,INACTIVE,Chennai,Tamil Nadu,,,,0.0,0.0,False,NONE,2026-02-26,18,2026-02
TXN00019686,2026-02-09 03:30:45,USR18812,MCH4407,12580.71,UTR6640964146,True,5812.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-09,3,2026-02
TXN00003100,2026-03-16 03:54:54,USR57308,MCH7112,10845.23,UTR1936400434,True,5411.0,SUCCESS,,,,,,VERIFIED,LOW,Farmer,0.0,0.0,False,NONE,2026-03-16,3,2026-03
TXN00004458,2026-01-14 17:23:21,USR45841,MCH8118,3508.28,UTR4012895022,True,,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-14,17,2026-01
TXN00005596,2026-02-09 17:41:28,USR14781,MCH9010,11951.91,UTR7767785322,True,,SUCCESS,,,,,,VERIFIED,LOW,Gig Worker,0.0,0.0,False,NONE,2026-02-09,17,2026-02
TXN00013560,2026-10-02 18:48:56,USR52838,MCH2487,12874.04,UTR2505214559,True,7011.0,SUCCESS,"Virk, Ganguly and Saraf",FOOD & DINING,INACTIVE,Bengaluru,Karnataka,VERIFIED,LOW,Student,0.0,0.0,False,NONE,2026-10-02,18,2026-10
TXN00005113,2026-01-20 22:08:15,USR59091,MCH5481,15023.8,UTR7885746162,True,7011.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-20,22,2026-01
TXN00004382,2026-02-09 07:49:44,USR41359,MCH6188,1788.0,UTR3223727564,True,5411.0,FAILED,"Batta, Choudhary and Bhalla",TRANSPORT & TRAVEL,ACTIVE,Kolkata,West Bengal,,,,0.0,0.0,False,NONE,2026-02-09,7,2026-02
TXN00000501,2026-03-21 07:59:26,USR89249,MCH6141,17457.06,UTR6418765672,True,4131.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-03-21,7,2026-03
TXN00015867,2026-02-03 09:51:32,USR22510,MCH1710,19999.28,UTR4037860306,True,,SUCCESS,"Tara, Dash and Pau",PHARMACY,ACTIVE,Lucknow,Uttar Pradesh,,,,0.0,0.0,False,NONE,2026-02-03,9,2026-02
TXN00009000,2026-03-08 18:50:10,USR50781,MCH4452,23299.28,UTR7035856587,True,,FAILED,,,,,,PENDING,HIGH,Student,0.0,0.0,False,HIGH_RISK_USER,2026-03-08,18,2026-03
TXN00015273,2026-02-25 21:26:11,USR68103,MCH9191,9060.1,UTR3174009003,True,4131.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-25,21,2026-02
TXN00014299,2026-03-29 14:21:33,USR65210,MCH2827,12535.81,UTR8506543282,True,5411.0,SUCCESS,Bala-Bhatti,OTHER,INACTIVE,Bangalore,Karnataka,,,,0.0,0.0,False,NONE,2026-03-29,14,2026-03
TXN00003270,2026-01-28 02:07:55,USR15604,MCH4643,17218.9,UTR3172822886,True,5812.0,FAILED,Barad and Sons,BOOKS & STATIONERY,SUSPENDED,Ludhiana,Punjab,,,,0.0,0.0,False,NONE,2026-01-28,2,2026-01
TXN00001731,2026-01-20 11:53:08,USR32551,MCH1513,7663.28,UTR5999659974,True,5812.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-01-20,11,2026-01
TXN00010729,2026-02-05 11:50:33,USR15670,MCH7869,4434.27,UTR9532881220,True,5812.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-05,11,2026-02
TXN00016379,2026-02-02 12:14:35,USR33003,MCH4564,13236.1,UTR0210719519,True,5411.0,SUCCESS,,,,,,VERIFIED,LOW,Retired,0.0,0.0,False,NONE,2026-02-02,12,2026-02
TXN00019886,2026-02-27 11:51:21,USR63295,MCH8082,13247.83,,False,,SUCCESS,Contractor and Sons,HOTEL & LODGING,ACTIVE,Amritsar,Punjab,,,,0.0,0.0,False,INVALID_OR_MISSING_UTR,2026-02-27,11,2026-02
TXN00013446,2026-09-03 16:11:52,USR65132,MCH2804,22208.81,UTR9695047215,True,5411.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-09-03,16,2026-09
TXN00019919,2026-02-11 07:16:01,USR28532,MCH4744,21787.59,UTR5946059768,True,7011.0,SUCCESS,Tiwari-Bedi,BOOKS & STATIONERY,INACTIVE,Pune,Maharashtra,,,,0.0,0.0,False,NONE,2026-02-11,7,2026-02
TXN00015848,2026-03-14 00:00:00,USR47788,MCH8306,19340.0,UTR5491341754,True,5411.0,UNKNOWN,Magar-Gaba,TRANSPORT & TRAVEL,INACTIVE,Delhi,Delhi,VERIFIED,MEDIUM,Freelancer,0.0,0.0,False,NONE,2026-03-14,0,2026-03
TXN00012409,2026-02-11 08:41:30,USR21890,MCH6790,24277.1,UTR6709219519,True,5912.0,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-11,8,2026-02
TXN00004601,2026-03-25 07:19:26,USR12389,MCH1015,-4973.8,UTR7964275007,True,5812.0,SUCCESS,Mannan-Subramaniam,HOTEL & LODGING,ACTIVE,Hyderabad,Telangana,,,,0.0,0.0,False,NONE,2026-03-25,7,2026-03
TXN00001022,2026-03-02 21:34:50,USR50138,MCH1795,7440.75,UTR4834151699,True,7011.0,SUCCESS,,,,,,VERIFIED,LOW,Student,0.0,0.0,False,NONE,2026-03-02,21,2026-03
TXN00003957,2026-02-06 05:16:23,USR20098,MCH1501,23162.33,UTR3598244387,True,5912.0,SUCCESS,Anand-Bhatt,TELECOM,ACTIVE,Hyderabad,Telangana,,,,0.0,0.0,False,NONE,2026-02-06,5,2026-02
TXN00005885,2026-02-05 18:19:19,USR17338,MCH5199,12009.79,UTR6613055314,True,,SUCCESS,,,,,,,,,0.0,0.0,False,NONE,2026-02-05,18,2026-02
TXN00003161,2026-03-23 00:00:00,USR25738,MCH5735,11103.55,,False,7011.0,FAILED,,,,,,VERIFIED,LOW,Gig Worker,0.0,0.0,False,INVALID_OR_MISSING_UTR,2026-03-23,0,2026-03
TXN00003183,2026-03-19 08:34:23,USR83823,MCH6677,7752.07,UTR7232258080,True,4131.0,SUCCESS,"DESHMUKH, CHOUDHRY AND LAD",PHARMACY,INACTIVE,Jalandhar,Punjab,,,,0.0,0.0,False,NONE,2026-03-19,8,2026-03
